"GeneID","N2.Mean_N","WDR5.Mean_N","Fold.Change_Log2","P.Value.Ad","Chrom.No","start","end","strand"
2079,36468.56631,33731.37008,-0.112562566,1,"I",318543,323353,"minus"
2080,15385.75546,15253.47568,-0.012457269,1,"IV",7916683,7924115,"minus"
2081,54544.03343,40777.93963,-0.419632506,0.49794411,"III",9167962,9172728,"minus"
2083,149872.2123,129511.4778,-0.210652959,0.795594787,"III",6929984,6931898,"plus"
2084,646.2176392,1324.990786,1.035890291,0.231676819,"IV",10436688,10438392,"plus"
2085,7688.843858,6054.331868,-0.344798923,0.696925899,"II",5988502,5989371,"plus"
2086,156.6932562,252.127379,0.686209701,0.76406985,"II",5990075,5990746,"minus"
2087,5.449023737,67.30943914,3.626739155,0.001209131,"II",5996344,5996981,"plus"
2088,149.7023815,304.9826251,1.026629882,0.265452442,"II",5998417,5998993,"plus"
2089,59.15063454,424.0855699,2.841889844,8.77e-05,"II",6000465,6000987,"plus"
2093,4.80166265,25.2682891,2.395722031,0.194071191,"V",14033980,14034326,"plus"
2096,21.39605139,8.154624732,-1.391654182,0.802104411,"II",5544568,5547473,"minus"
2097,0.779280941,12.21656396,3.970551227,0.275497616,"II",6745392,6745830,"minus"
2100,359.1692063,477.5336752,0.410938809,0.486890587,"III",4476857,4477552,"minus"
2101,89.3731274,198.7080242,1.152737118,0.168264323,"I",8147422,8149707,"plus"
2103,0.1,10.4144674,6.702445251,0.194913304,"II",6010818,6011295,"plus"
2105,3.157311393,27.19181142,3.106403802,0.143947696,"III",10026200,10026584,"plus"
2107,132.5470409,159.4883566,0.266946641,0.809386178,"I",14031136,14031655,"minus"
2109,8.16444509,11.6373921,0.511341052,0.767897378,"I",14037138,14037791,"minus"
2110,30.54401476,153.3588341,2.327949664,0.137180621,"I",14026637,14027557,"plus"
2111,2.807153577,17.16881542,2.612610603,0.371069294,"I",14012430,14013600,"minus"
2113,167.4506003,260.3940422,0.636960892,0.606177908,"I",14034942,14036028,"minus"
2114,12.56264289,11.39747326,-0.140425982,1,"II",3127044,3127814,"plus"
2116,18.9970718,37.18005419,0.968751814,0.835951893,"I",13637836,13639300,"minus"
2117,9750.595707,10561.11341,0.115199672,0.78422787,"IV",14106559,14107681,"plus"
2118,485.0817242,412.7507865,-0.232956862,0.84856311,"V",20375509,20376270,"plus"
2119,40.89779034,121.4217104,1.569931598,0.620156727,"I",11212418,11215083,"minus"
2120,174.2194031,364.6490986,1.06560352,0.116498317,"II",13835032,13835593,"minus"
2123,5177.495361,7119.803953,0.45958316,0.245869848,"X",6943699,6956357,"minus"
2124,166342.5091,131058.6633,-0.343944177,0.457010469,"X",11294898,11296667,"minus"
2125,314559.5299,264341.3527,-0.250930938,0.799930251,"X",5996119,5998216,"plus"
2126,220.5114066,709.4250386,1.685796964,0.019283833,"V",7961298,7965809,"minus"
2127,21484.79636,17972.43699,-0.257530057,0.744018451,"X",8299775,8302330,"minus"
2128,2432.571836,3948.574935,0.69884966,0.070114875,"IV",12746561,12749698,"plus"
2129,7220.056941,8458.940858,0.22846682,0.9145098,"IV",5943969,5946667,"minus"
2130,10.97854719,24.39851803,1.152106369,0.835279734,"IV",11673793,11675615,"plus"
2131,27.94132656,65.52528385,1.229651181,0.488177746,"IV",11676329,11678473,"plus"
2132,3536.754645,3592.917852,0.022729812,0.891158694,"V",9204680,9207444,"minus"
2133,1916.945855,1666.55323,-0.20194219,0.80659006,"V",12487247,12493243,"plus"
2134,28401.26207,22605.88886,-0.329256395,0.679506049,"I",3755473,3759076,"minus"
2135,27982.39765,23982.89052,-0.222514035,0.73675457,"I",3748528,3753964,"minus"
2136,4220.257291,3656.491819,-0.206870823,0.862035916,"I",7349974,7352195,"minus"
2137,8197.121814,13272.03991,0.695200788,0.687529909,"I",4159016,4161115,"minus"
2138,7729.008799,11998.97613,0.634555992,0.332353961,"I",4162037,4165017,"plus"
2139,3526.663764,5676.892141,0.686797297,0.267181725,"I",4165135,4167061,"plus"
2140,128.6170755,517.0155243,2.007125409,0.142020202,"IV",606361,614026,"plus"
2141,738.3975244,1799.552656,1.285168696,0.008115702,"I",2451910,2464639,"minus"
2142,527.7302557,950.1636203,0.848375272,0.089438837,"I",9876519,9879110,"plus"
2143,1587.709051,1850.73896,0.221154861,1,"I",3611912,3618321,"plus"
2144,2917.489594,3378.255488,0.211550929,1,"I",3608398,3611847,"plus"
2146,720.7370646,1192.14523,0.726015055,0.379598917,"X",6031434,6034475,"plus"
2147,22846.99829,20813.81962,-0.134462888,0.771761312,"II",8112202,8124788,"minus"
2148,32568.52492,26310.21383,-0.307855405,0.604545709,"V",6606418,6611146,"minus"
2149,39.99452286,100.1768107,1.324674241,0.120816863,"X",6767207,6771606,"minus"
2150,189.9342439,163.8523639,-0.213103551,1,"X",702973,710006,"minus"
2151,105.7086863,249.04877,1.236334355,0.101642738,"X",14353219,14358995,"minus"
2152,23176.12015,22210.26175,-0.061412674,0.894684069,"IV",10368586,10373115,"plus"
2153,9202.94903,8040.425989,-0.1948243,0.813983634,"I",10179827,10183987,"plus"
2162,47914.99114,48300.07045,0.011548192,0.94643552,"IV",8133775,8136043,"minus"
2163,1438.229392,1005.771411,-0.515991348,0.832083322,"X",7132164,7139622,"plus"
2169,61119.90021,58748.26857,-0.057095855,0.936025905,"III",6703940,6710002,"minus"
2173,2070.546133,2440.668549,0.237265039,0.686129152,"IV",7675163,7696912,"plus"
2174,4493.078952,6242.702313,0.474466259,0.226877534,"I",2802824,2815788,"plus"
2175,32229.96915,25820.42504,-0.319890058,0.623911883,"IV",15997633,16026815,"minus"
2176,2351.049759,4131.780425,0.813458514,0.070363845,"II",1327000,1350143,"plus"
2177,333.3723111,771.4485182,1.2104356,0.046749507,"X",5368434,5372027,"plus"
2178,1590.985948,3555.012448,1.159933518,0.001568299,"IV",6957630,6963705,"plus"
2179,10273.95708,13513.99478,0.395462251,0.260750629,"I",7946175,7951588,"minus"
2180,3798.790338,3780.198078,-0.007078257,1,"IV",1420973,1421769,"plus"
2181,31700.58416,30312.86183,-0.064579362,0.972691636,"I",14128599,14142192,"minus"
2182,6622.782261,7026.624713,0.08539442,1,"III",7338937,7343562,"plus"
2183,6210.19238,5373.115503,-0.20887911,0.777491829,"II",7073754,7075509,"plus"
2184,2838.439253,2835.13279,-0.001681558,1,"II",11688906,11695998,"plus"
2185,10073.55018,9073.709157,-0.150807894,0.856982362,"III",13464728,13471247,"plus"
2186,34.02993344,90.24657575,1.407067863,0.478174051,"III",10098381,10101492,"minus"
2187,7602.604938,7077.128632,-0.103329683,1,"IV",405623,410026,"minus"
2188,16.50671248,49.22189974,1.576247523,0.532059929,"IV",3606791,3609224,"plus"
2189,5260.271324,8767.776401,0.737073791,0.191411757,"I",14919520,14952163,"plus"
2190,21272.649,24333.38669,0.193937429,0.595161946,"X",5970612,5977819,"minus"
2191,128453.2002,122957.2423,-0.063086119,1,"I",10734011,10736610,"plus"
2192,34791.76149,30358.91488,-0.196625498,0.944668909,"IV",11425720,11447043,"plus"
2193,14.68995304,5.351758098,-1.456744972,1,"IV",9967057,9969160,"minus"
2194,21.71896473,72.34751203,1.735988068,0.356133131,"II",11640390,11641714,"plus"
2195,60.21430005,50.47048056,-0.254666324,1,"X",8432610,8437296,"plus"
2196,65682.27867,68327.5284,0.056962763,1,"I",8288952,8291070,"minus"
2198,648.6978922,660.434581,0.025868912,1,"I",7075922,7079481,"minus"
2199,1.208756553,23.94818769,4.308320866,0.084586394,"II",9431322,9433648,"minus"
2201,41678.95151,36582.44637,-0.18816743,0.985904568,"III",6118574,6124015,"plus"
2202,113034.1295,113089.4741,0.000706211,1,"III",4083978,4086618,"minus"
2203,21747.77068,22877.98328,0.073092361,0.864723781,"X",15269057,15281557,"minus"
2206,27.1932216,19.04863074,-0.513559782,1,"IV",9839089,9841052,"minus"
2207,30123.68499,24795.21263,-0.280836667,0.835169959,"X",17186066,17193219,"plus"
2208,9.042106077,13.93972416,0.624471265,0.702076288,"IV",7875723,7877790,"minus"
2210,3880.39637,6135.017429,0.660863416,0.08494392,"X",2843913,2852471,"minus"
2212,21.8767709,48.50233269,1.148654328,0.601844395,"III",8671623,8673545,"plus"
2213,20758.20883,14353.31946,-0.532297538,0.242515302,"I",5086313,5093809,"plus"
2214,10451.80671,9898.521781,-0.078467351,0.92370356,"IV",11084084,11086032,"plus"
2215,33852.62152,31878.96095,-0.086662952,0.857961514,"V",5575394,5581697,"minus"
2216,5971.27537,6121.316717,0.035802914,0.964998542,"II",7842365,7845595,"plus"
2217,12789.99934,9641.414147,-0.407699516,0.457532476,"X",3171409,3178692,"minus"
2218,305.0733062,470.110495,0.623843938,0.755361568,"III",5030894,5037590,"plus"
2219,7713.600491,9076.872135,0.234790808,0.735610637,"III",10805831,10810902,"plus"
2220,6828.242628,5814.34038,-0.231898791,0.694446611,"X",3159928,3164419,"plus"
2221,6164.348918,5030.204818,-0.29333138,0.58985547,"IV",7797109,7800433,"plus"
2222,19983.29311,17753.51311,-0.170689812,0.909322873,"IV",8755027,8762044,"minus"
2223,40083.32979,35548.70699,-0.173205275,0.748599902,"IV",11340837,11360083,"minus"
2224,335.0313556,607.7248832,0.85912224,0.169037644,"X",5984940,5992068,"plus"
2225,2493.496051,2487.92546,-0.003226657,1,"I",5577058,5579302,"minus"
2226,6514.11569,7197.096293,0.143845619,0.982737515,"I",9512444,9514747,"plus"
2227,23.80674043,25.28065169,0.086663551,1,"II",11465875,11467577,"minus"
2228,20896.94959,20437.93869,-0.032042665,0.987888412,"IV",7040198,7043683,"plus"
2229,41420.40265,34549.88799,-0.261660545,0.789737833,"III",13302642,13307158,"minus"
2230,10304.02508,9011.096646,-0.193433412,0.873558682,"III",221415,228837,"plus"
2231,64968.30567,54537.25859,-0.252493899,0.817839687,"III",8250565,8254251,"plus"
2232,45605.33094,36204.28704,-0.333041934,0.478167598,"I",11675932,11680958,"plus"
2233,6861.000184,6977.348605,0.024260011,1,"X",6618985,6627951,"plus"
2234,697.6535839,501.1483185,-0.477273209,0.678084975,"X",8243084,8246318,"minus"
2235,276.6392624,362.1422621,0.388550622,0.537172729,"II",13696277,13712828,"plus"
2238,35707.85349,30636.26719,-0.221000886,0.752577987,"II",7070144,7072375,"minus"
2239,13702.32633,10061.307,-0.445603121,0.508457523,"X",8275106,8283268,"plus"
2240,6490.144464,5209.773154,-0.317030036,0.832345658,"I",12047331,12059791,"minus"
2241,23096.80799,23380.94056,0.017639484,1,"V",12032237,12040854,"minus"
2242,12.35787682,55.47477333,2.166400969,0.081019211,"X",7690492,7707035,"minus"
2243,4642.804435,6300.908326,0.440563307,0.407107131,"IV",2964405,2978459,"minus"
2244,38626.64934,37776.23454,-0.032117633,1,"III",2770498,2779045,"minus"
2245,28468.8729,28798.4634,0.016606459,1,"IV",6095400,6110630,"plus"
2246,2363.809552,1538.616788,-0.61947985,0.458709972,"V",3188348,3189839,"plus"
2247,80286.54333,70635.55541,-0.184763633,0.773673193,"IV",5173272,5179263,"plus"
2248,122656.6996,99189.49994,-0.306366725,0.722908923,"I",10608455,10621417,"plus"
2249,24641.49598,24737.39087,0.005603499,0.9145098,"III",8399124,8401860,"minus"
2251,70518.86268,70011.56458,-0.01041596,1,"II",8896780,8908592,"plus"
2252,156.090203,593.8326782,1.927676497,0.061789256,"II",4359086,4368285,"plus"
2253,236665.4532,203910.8913,-0.214910292,0.845933406,"X",3259090,3259843,"plus"
2254,1643.997166,1675.204764,0.027129638,0.949819031,"X",3260598,3261461,"plus"
2255,30764.30088,21225.92501,-0.535429781,0.59650016,"X",3256998,3258146,"plus"
2256,8594.804397,7175.457914,-0.260393904,0.911631736,"V",7820557,7821457,"plus"
2257,3370.758267,4179.901906,0.310395917,0.944856872,"I",6731270,6732281,"minus"
2258,990.7680563,1831.46579,0.886379493,0.725323436,"I",6728286,6729379,"minus"
2259,427.1359704,971.0802752,1.184895165,0.013331071,"V",13879536,13880200,"plus"
2261,79031.55001,86506.91349,0.130386732,0.92078717,"X",11028851,11040546,"plus"
2262,18718.52045,15555.39187,-0.267051666,0.707801181,"II",11725260,11726469,"plus"
2263,9993.388869,17099.34019,0.774894757,0.058620063,"V",10011847,10023212,"plus"
2264,33117.13809,39380.20118,0.249892478,0.624191662,"II",13195479,13199626,"plus"
2265,6237.282334,9456.182599,0.60034033,0.332161871,"II",10009547,10016001,"minus"
2266,2619.505043,6337.14017,1.274537687,0.191447785,"II",9991310,10000287,"plus"
2267,680.7193284,1037.214266,0.607581975,0.179039799,"III",3771403,3773315,"minus"
2268,4454.999187,13349.18947,1.583255074,0.063681738,"II",5839617,5841113,"minus"
2269,1135.275696,1716.291186,0.59625165,0.302815519,"III",599506,600606,"minus"
2271,710.1285027,752.0307962,0.082711629,0.76071916,"X",9850151,9851317,"plus"
2272,1803.631937,4530.547768,1.328780529,0.117951332,"X",17600396,17601428,"plus"
2273,1581.220411,2060.14791,0.381709437,0.524254675,"V",6488182,6489033,"minus"
2274,78.63895339,131.9701641,0.746895775,0.311989813,"IV",6588179,6590194,"minus"
2275,32185.97287,29228.60432,-0.139051136,0.956391878,"II",14063375,14066095,"plus"
2276,26956.83446,25243.71193,-0.094727025,0.996016325,"I",9578516,9581265,"minus"
2280,152709.9709,179173.0682,0.230559537,0.596180875,"X",16380376,16389297,"minus"
2295,94952.4776,81622.03715,-0.218246927,0.755361568,"II",8770920,8781966,"plus"
2297,33663.43853,33638.76793,-0.001057682,1,"II",10778336,10783230,"minus"
2299,2754.258024,1930.439276,-0.512734547,0.444873467,"II",9197458,9207148,"plus"
2324,7551.916616,6843.081708,-0.142196662,0.849138333,"I",14820370,14821754,"plus"
2335,52550.23304,49007.27593,-0.100701205,1,"IV",11688200,11691065,"minus"
2344,104558.4467,113165.1738,0.114120428,0.771713707,"IV",11081062,11082234,"minus"
2348,1273.368329,3599.626391,1.499197389,0.217391087,"I",7258919,7267077,"minus"
2363,118190.448,108959.5257,-0.117321115,1,"IV",11858409,11860439,"plus"
2368,4154.887014,3823.602888,-0.11987655,0.859191817,"IV",12567833,12570601,"plus"
2393,2265.264657,3668.511333,0.695515128,0.134892456,"I",557434,561674,"plus"
2497,30239.84808,24031.86694,-0.331502162,0.768397764,"II",10033248,10039881,"minus"
2583,51506.55414,51908.92989,0.011226722,0.954983699,"I",5245743,5263429,"plus"
2601,4258.290522,3595.317774,-0.244155091,0.695870917,"I",6320361,6323993,"minus"
2632,61184.12132,59320.27312,-0.044632049,0.963439483,"V",7972904,7977754,"minus"
2637,159364.4647,147682.3228,-0.109832822,0.917961519,"V",5826816,5832844,"plus"
2694,77311.1636,70433.20223,-0.134421076,1,"I",4738171,4744322,"minus"
2717,165907.2299,204862.2025,0.304277071,0.674829743,"I",5300954,5310917,"minus"
2783,63512.39539,66183.84514,0.059440929,1,"I",6574003,6585880,"plus"
2827,27377.73537,22255.66684,-0.298830386,0.802566058,"IV",11885507,11891057,"plus"
2845,206071.2316,177435.7201,-0.215846641,0.804274274,"III",6946694,6958823,"plus"
2850,40389.41977,34766.66764,-0.216272628,0.693048781,"III",6383499,6389360,"plus"
2855,47410.95193,41843.28399,-0.180224277,0.72149811,"III",6444640,6446891,"minus"
2879,9089.488643,7585.313284,-0.260990366,0.814762028,"III",7949606,7951850,"minus"
2881,3469.67854,4052.058623,0.22385304,0.575552521,"III",6407076,6409981,"plus"
2889,64081.07813,66094.96278,0.044641905,1,"III",6592482,6601118,"minus"
2915,53717.65396,45941.85661,-0.225587138,1,"III",2658075,2681103,"plus"
2957,33933.81051,31703.67455,-0.09807338,0.962839939,"II",11022310,11027861,"plus"
2974,701.1663195,965.6336714,0.461719285,0.45289184,"IV",13174147,13179359,"minus"
2975,2110.669516,2484.257563,0.235114054,0.835884888,"X",11560849,11563642,"plus"
2976,314.9958537,447.578169,0.506806831,0.431367763,"X",6286417,6291696,"minus"
2977,4509.476908,8130.67208,0.850414517,0.019375186,"I",14390321,14400210,"plus"
2978,31927.52499,42365.10045,0.40807557,0.354493419,"I",14620748,14631243,"minus"
2979,4760.189708,3473.423566,-0.45466072,0.813018095,"I",5023889,5041157,"plus"
2980,383515.8748,398533.2916,0.055413949,0.928021137,"II",6346925,6347689,"minus"
2981,78710.29773,88733.5364,0.17292707,0.774355799,"IV",10934098,10935884,"minus"
2982,8409.424923,8060.460807,-0.061144827,1,"III",5697431,5697964,"minus"
2983,9287.292064,14647.23067,0.657298012,0.188432495,"X",5525164,5538481,"minus"
2985,47601.76947,42914.44324,-0.149551922,0.944856872,"V",10814093,10816697,"plus"
2986,3365.23089,3151.928357,-0.094470749,0.930954231,"III",7521397,7524770,"plus"
2987,1801.56524,1770.02322,-0.025482611,1,"X",3869734,3873276,"minus"
2988,635.8025676,466.1537638,-0.447772927,0.76425126,"X",1074221,1079336,"plus"
2989,10362.66638,10124.32691,-0.033569268,1,"I",5716679,5725359,"plus"
2990,6850.018171,6381.663133,-0.10217536,1,"IV",2275860,2300351,"minus"
2991,3719.928759,4109.966518,0.143851649,0.764691482,"X",12399450,12413957,"minus"
2992,3668.503123,3360.071516,-0.126699574,1,"IV",11054289,11063592,"plus"
2994,46280.3141,41097.21915,-0.171357879,0.785155403,"II",7860541,7863511,"plus"
2996,6188.634152,5623.089089,-0.138258134,0.859191817,"II",14347049,14349330,"minus"
2997,3044.006578,4185.072222,0.459281043,0.759624885,"II",3056644,3060251,"plus"
2998,26007.8899,20961.77897,-0.311188194,0.688368301,"III",8900157,8904053,"minus"
2999,29014.29344,28082.62895,-0.047085797,1,"I",8109738,8119309,"minus"
3000,3692.841501,3614.656686,-0.030872714,1,"I",10248279,10255320,"plus"
3001,23875.85606,22040.59546,-0.11538926,0.803529206,"III",9060087,9071683,"minus"
3002,89972.67348,76975.96586,-0.225078828,0.659615674,"III",7700069,7709407,"minus"
3003,3168.123383,9482.446342,1.581630781,0.087853865,"X",11468435,11484202,"plus"
3006,24228.58002,22172.92439,-0.127910794,1,"I",2706885,2717551,"plus"
3007,2185.630552,2143.782257,-0.027891176,1,"X",3958477,3961886,"plus"
3008,858.7970225,812.4845524,-0.079976806,0.987257691,"IV",3019738,3022213,"plus"
3009,30587.56495,30898.6249,0.014597375,1,"II",6371273,6374502,"plus"
3010,7012.764947,8341.91392,0.250395052,0.629007,"IV",12129482,12135073,"plus"
3011,18591.72793,17020.38939,-0.127396819,0.835279734,"V",12649841,12658701,"plus"
3012,55714.93178,66490.16889,0.255077016,0.640937031,"II",7681914,7686214,"plus"
3014,25769.04423,29296.10527,0.185069852,0.929453973,"I",8407625,8410798,"minus"
3015,401.2061003,545.8440317,0.444145235,0.603430713,"II",11917579,11935280,"minus"
3017,276.3259745,360.456889,0.383455541,0.544010177,"II",3982576,3986967,"plus"
3018,6371.094724,5077.247238,-0.327494773,0.768687359,"X",2229116,2230094,"minus"
3019,9864.739352,8356.93913,-0.239306305,0.696793421,"IV",5930633,5933267,"plus"
3020,45329.67277,40831.15519,-0.150785362,0.729846207,"I",5807712,5815640,"plus"
3021,62024.50819,57720.48588,-0.103754946,0.905847416,"III",8016585,8020805,"minus"
3022,21824.71698,19817.10674,-0.139216598,0.897133033,"III",7070814,7072494,"minus"
3024,9278.863006,9335.127041,0.008721622,1,"III",7528603,7536567,"minus"
3025,114145.0921,107026.7527,-0.092897368,0.94903235,"V",3704982,3712845,"plus"
3026,1118.233669,1366.332687,0.289087118,0.909907921,"I",9335764,9342488,"minus"
3029,854.9249835,1374.379655,0.684910846,0.231676819,"I",4126058,4129312,"plus"
3030,14351.29729,13358.39884,-0.10343406,1,"IV",6742527,6748413,"minus"
3031,281.1248233,378.3389092,0.428468304,0.930175205,"V",12968837,12970716,"plus"
3033,154.6122652,328.3190575,1.086443723,0.087853865,"III",3745443,3747330,"plus"
3034,29343.74514,25848.41804,-0.182977026,0.783229312,"IV",8620540,8626151,"plus"
3035,15582.43995,13847.66938,-0.170277968,1,"III",9823994,9824665,"minus"
3036,96207.18719,89033.59738,-0.111794826,0.804603355,"I",9618193,9619754,"minus"
3037,24534.51004,21664.05599,-0.179509088,0.814362481,"IV",13241028,13243345,"plus"
3040,46569.16163,49501.53875,0.088098462,1,"I",3713140,3721160,"minus"
3041,21787.47181,16408.99986,-0.40901149,0.586817084,"I",7248826,7251407,"minus"
3043,1323.702549,1520.467991,0.199936477,0.849182586,"IV",6842953,6844955,"plus"
3044,26207.32868,31588.12426,0.269411964,0.846005109,"II",7671958,7682613,"plus"
3045,12303.86044,10305.46161,-0.255701916,0.805285564,"II",7667943,7671855,"plus"
3046,2133.326201,2251.736111,0.077933181,1,"II",11183016,11184750,"minus"
3047,7983.878595,10083.55543,0.336842731,0.415814703,"III",13370878,13376609,"minus"
3048,73570.67226,83519.08267,0.182975092,0.814665985,"III",13701892,13724300,"plus"
3052,105511.9946,94270.91023,-0.16252245,0.818588571,"I",8762982,8765627,"plus"
3053,102168.8412,91226.06169,-0.163437338,0.938109904,"X",6376401,6377651,"minus"
3055,587.9706516,1262.151785,1.102069368,0.005682869,"III",5474437,5478343,"plus"
3056,15125.67081,13234.74571,-0.192668651,0.693264435,"X",4738837,4749055,"minus"
3057,427.6466655,1425.402138,1.736877797,0.000581006,"V",12197414,12198606,"minus"
3058,6.037487432,31.16324822,2.367825431,0.319729504,"II",10109220,10121904,"minus"
3059,11900.92042,11419.95995,-0.059515565,1,"I",6253703,6254940,"plus"
3060,18421.4875,16743.19869,-0.137814389,0.909658222,"I",3565043,3578691,"minus"
3061,22381.78746,23190.32543,0.051197808,0.843804866,"I",4372255,4373121,"minus"
3062,30619.51347,23855.73952,-0.360114949,0.698433191,"I",3144413,3147861,"minus"
3063,60486.88708,54726.69023,-0.144377808,0.749030622,"III",7573281,7575202,"plus"
3064,7186.548993,7454.809973,0.052872428,1,"IV",10387390,10388330,"plus"
3065,19277.78848,18219.44707,-0.081460381,1,"V",10579286,10580671,"plus"
3066,13671.55072,11633.12325,-0.23293841,0.884584424,"IV",9092200,9094453,"minus"
3067,384.1807927,517.4577281,0.429655619,0.708902055,"III",9504680,9506997,"plus"
3068,27811.72232,25085.14125,-0.148860029,0.80444303,"I",10879759,10894230,"minus"
3071,50072.67552,44614.54081,-0.166509553,0.924388174,"I",7614172,7634139,"plus"
3072,100831.2046,58922.4416,-0.775053066,0.170042454,"I",3935272,3953945,"minus"
3073,40118.90424,37848.6533,-0.084040234,0.803936441,"III",4181517,4186797,"minus"
3074,3331.295133,2923.927875,-0.188175449,0.731524311,"I",7457154,7460754,"minus"
3075,477.9241785,1116.083002,1.223590662,0.036741939,"V",12252628,12255375,"plus"
3076,18234.41081,15031.94538,-0.278631854,0.748020275,"II",11126874,11127472,"plus"
3077,18959.40372,17208.0727,-0.139828067,0.982737515,"IV",13387179,13389575,"plus"
3078,23434.14351,20439.75825,-0.197233934,0.847520408,"II",7252189,7253122,"minus"
3079,15764.21059,16315.38962,0.049580512,0.981704906,"V",15569938,15570768,"plus"
3080,11036.54726,9445.51563,-0.224587441,1,"I",1701360,1701810,"plus"
3081,17018.39292,16018.96097,-0.087314233,0.960548387,"IV",10933330,10934179,"plus"
3082,21378.09788,17095.39243,-0.322525954,0.813193945,"IV",6326513,6329461,"plus"
3083,23967.27918,24970.39547,0.05915253,1,"I",10588166,10590455,"plus"
3084,8633.361489,7440.070776,-0.214606052,0.906258385,"X",4377982,4383341,"minus"
3085,145204.9719,148395.0981,0.031352584,1,"IV",14071350,14076719,"plus"
3086,12652.08452,10852.31451,-0.221372336,0.864723781,"IV",14060980,14069831,"minus"
3087,33698.63779,32817.54876,-0.03822279,0.937983791,"X",2089660,2093247,"plus"
3089,13749.19306,12776.76462,-0.105824392,1,"II",8088438,8092702,"minus"
3090,610.170574,1116.947205,0.872276484,0.226219299,"V",10277802,10279102,"plus"
3091,134.4914695,361.1203364,1.424964999,0.032896877,"V",10280285,10281445,"minus"
3092,21.92272514,48.39060219,1.142299747,0.522227676,"V",10282179,10283423,"minus"
3093,114.2776019,401.1832669,1.811718767,0.000751235,"IV",11621420,11623101,"minus"
3094,42.84928953,105.0441721,1.293652934,0.448867206,"IV",11624232,11625559,"minus"
3095,14.87565686,34.91125775,1.230738959,0.649080576,"IV",11626887,11627924,"minus"
3097,518.0050713,964.7268726,0.897154331,0.174723782,"II",5586148,5587635,"plus"
3099,5.555057276,32.13742232,2.532380526,0.402261469,"IV",8332813,8333546,"plus"
3100,95.37772821,256.8737025,1.429334877,0.024896838,"II",9733363,9737952,"plus"
3102,2935.012039,3083.136088,0.07103215,0.903708943,"III",7776842,7783389,"minus"
3104,2562.641858,5096.977969,0.992010249,0.073883324,"X",892240,898068,"minus"
3106,371.0522547,666.8170673,0.845668657,0.082409888,"II",516014,521630,"plus"
3107,320.8126149,394.0597592,0.296683559,0.681016234,"II",10530349,10533446,"plus"
3111,72815.6436,68975.36719,-0.078167198,0.900169528,"I",1644590,1651382,"minus"
3112,4546.202094,4185.822725,-0.119150605,0.819809329,"III",4600705,4603019,"plus"
3119,18774.83898,15698.3693,-0.258185831,0.715531669,"II",13311146,13320841,"minus"
3123,107186.4883,96161.43489,-0.156592725,1,"I",11911746,11912670,"minus"
3124,2997.30589,2134.255339,-0.489933537,0.698213393,"X",3113424,3116586,"minus"
3129,6921.119576,7169.88438,0.050944424,1,"IV",3683531,3686862,"minus"
3130,10519.74013,10302.22058,-0.030143732,1,"IV",16847796,16854910,"minus"
3132,39802.106,39701.09159,-0.003666093,1,"I",5123929,5127205,"minus"
3133,41705.04775,32896.64249,-0.342281664,0.53324127,"II",11112661,11120742,"plus"
3134,24145.67055,20100.30441,-0.264547178,0.735610637,"III",475451,482321,"plus"
3136,15336.3299,13012.956,-0.237004556,0.815884464,"I",8125794,8130081,"plus"
3142,18360.03821,16998.89136,-0.111128402,0.964026287,"IV",13377990,13380453,"plus"
3143,5307.892131,7995.578789,0.59106342,0.219787685,"V",13098895,13110322,"minus"
3144,35482.64914,38291.467,0.109909208,0.871964474,"II",13014262,13025768,"minus"
3148,13393.95751,9812.742758,-0.448853951,0.566201028,"IV",11479336,11480163,"minus"
3149,49184.68234,46670.92936,-0.075684889,0.948483417,"X",14819844,14824471,"minus"
3150,149358.9288,166181.0299,0.153972217,0.826961766,"IV",13009111,13035922,"plus"
3151,55215.06597,42427.13008,-0.380074881,0.533201921,"IV",9625893,9634931,"minus"
3153,54837.11168,44865.9699,-0.289530986,0.828701003,"IV",3103152,3133141,"minus"
3154,59998.09099,57537.85604,-0.060405133,1,"II",12001446,12006561,"minus"
3155,71440.47679,61104.86361,-0.225454494,0.785902212,"V",15056702,15059584,"minus"
3156,56235.35145,54292.56094,-0.050722806,1,"I",2318293,2321849,"minus"
3157,65426.12406,57637.90355,-0.182848944,0.76425126,"III",4288233,4291256,"minus"
3158,53998.72688,44207.89594,-0.288621322,0.674752208,"III",9794281,9798558,"plus"
3159,183937.2341,177931.2775,-0.047893416,1,"V",4347150,4349761,"plus"
3160,26924.55907,22931.46538,-0.231594169,0.72351493,"V",9541758,9544202,"minus"
3161,48245.20397,41635.19338,-0.212582007,0.924352806,"IV",2636229,2641115,"minus"
3162,10190.51262,11634.70654,0.191208197,0.736973011,"III",6606197,6608060,"minus"
3163,8314.510853,12129.70697,0.544841401,0.231905484,"X",6742354,6743863,"plus"
3164,18278.68212,16374.66315,-0.158696828,1,"V",7058528,7059601,"minus"
3165,486.640852,886.3085527,0.8649516,0.05086739,"V",6956519,6966404,"plus"
3166,922.0935661,1535.586414,0.735804645,0.191876616,"X",5575897,5590780,"plus"
3167,182.6707543,344.3101933,0.914463217,0.13330828,"IV",10458843,10461869,"minus"
3168,63.14677745,203.4940597,1.688205664,0.017832083,"X",16803295,16807052,"minus"
3169,387.0525809,725.7327838,0.906908874,0.307869363,"X",15943939,15948881,"plus"
